,Condition,Date/Time,current,power,voltage
0,normal,Wed Oct 23 18:39:40 2019,0.11,1.53,13.82
1,normal,Wed Oct 23 18:39:41 2019,0.09,1.28,13.83
2,normal,Wed Oct 23 18:39:42 2019,0.1,1.4,13.82
3,normal,Wed Oct 23 18:39:43 2019,0.09,1.28,13.81
4,normal,Wed Oct 23 18:39:44 2019,0.1,1.4,13.82
5,normal,Wed Oct 23 18:39:45 2019,0.09,1.28,13.84
6,normal,Wed Oct 23 18:39:46 2019,0.1,1.4,13.82
7,normal,Wed Oct 23 18:39:47 2019,0.1,1.4,13.83
8,normal,Wed Oct 23 18:39:48 2019,0.1,1.4,13.82
9,normal,Wed Oct 23 18:39:49 2019,0.09,1.28,13.83
10,normal,Wed Oct 23 18:39:50 2019,0.09,1.28,13.83
11,normal,Wed Oct 23 18:39:51 2019,0.09,1.28,13.82
12,normal,Wed Oct 23 18:39:53 2019,0.09,1.28,13.81
13,normal,Wed Oct 23 18:39:54 2019,0.09,1.28,13.84
14,normal,Wed Oct 23 18:39:55 2019,0.1,1.4,13.82
15,normal,Wed Oct 23 18:39:56 2019,0.09,1.28,13.82
16,normal,Wed Oct 23 18:39:57 2019,0.09,1.28,13.82
17,normal,Wed Oct 23 18:39:58 2019,0.1,1.4,13.82
18,normal,Wed Oct 23 18:39:59 2019,0.1,1.4,13.83
19,normal,Wed Oct 23 18:40:00 2019,0.09,1.28,13.82
20,normal,Wed Oct 23 18:40:01 2019,0.1,1.4,13.82
21,normal,Wed Oct 23 18:40:02 2019,0.09,1.28,13.83
22,normal,Wed Oct 23 18:40:03 2019,0.1,1.4,13.82
23,normal,Wed Oct 23 18:40:04 2019,0.09,1.28,13.82
24,normal,Wed Oct 23 18:40:05 2019,0.09,1.28,13.83
25,normal,Wed Oct 23 18:40:06 2019,0.09,1.28,13.81
26,normal,Wed Oct 23 18:40:07 2019,0.1,1.4,13.82
27,normal,Wed Oct 23 18:40:08 2019,0.1,1.4,13.81
28,normal,Wed Oct 23 18:40:09 2019,0.1,1.4,13.82
29,normal,Wed Oct 23 18:40:10 2019,0.09,1.28,13.85
30,normal,Wed Oct 23 18:40:11 2019,0.09,1.28,13.83
31,normal,Wed Oct 23 18:40:12 2019,0.11,1.53,13.82
32,normal,Wed Oct 23 18:40:13 2019,0.1,1.4,13.82
33,normal,Wed Oct 23 18:40:14 2019,0.1,1.4,13.83
34,normal,Wed Oct 23 18:40:15 2019,0.1,1.4,13.83
35,normal,Wed Oct 23 18:40:16 2019,0.09,1.28,13.82
36,normal,Wed Oct 23 18:40:17 2019,0.09,1.28,13.83
37,normal,Wed Oct 23 18:40:18 2019,0.1,1.4,13.83
38,normal,Wed Oct 23 18:40:19 2019,0.1,1.4,13.83
39,normal,Wed Oct 23 18:40:20 2019,0.1,1.4,13.84
40,normal,Wed Oct 23 18:40:21 2019,0.1,1.4,13.81
41,normal,Wed Oct 23 18:40:22 2019,0.09,1.28,13.84
42,normal,Wed Oct 23 18:40:23 2019,0.1,1.4,13.81
43,normal,Wed Oct 23 18:40:24 2019,0.09,1.28,13.82
44,normal,Wed Oct 23 18:40:25 2019,0.09,1.28,13.83
45,normal,Wed Oct 23 18:40:26 2019,0.1,1.4,13.82
46,normal,Wed Oct 23 18:40:27 2019,0.1,1.4,13.82
47,normal,Wed Oct 23 18:40:28 2019,0.09,1.28,13.83
48,normal,Wed Oct 23 18:40:29 2019,0.1,1.4,13.81
49,normal,Wed Oct 23 18:40:30 2019,0.09,1.28,13.8
50,normal,Wed Oct 23 18:40:31 2019,0.09,1.28,13.79
51,normal,Wed Oct 23 18:40:32 2019,0.09,1.28,13.82
52,normal,Wed Oct 23 18:40:33 2019,0.1,1.4,13.83
53,normal,Wed Oct 23 18:40:34 2019,0.1,1.4,13.8
54,normal,Wed Oct 23 18:40:35 2019,0.09,1.28,13.81
55,normal,Wed Oct 23 18:40:36 2019,0.09,1.28,13.82
56,normal,Wed Oct 23 18:40:37 2019,0.09,1.28,13.81
57,normal,Wed Oct 23 18:40:38 2019,0.09,1.28,13.82
58,normal,Wed Oct 23 18:40:39 2019,0.09,1.28,13.81
59,normal,Wed Oct 23 18:40:40 2019,0.1,1.4,13.82
60,normal,Wed Oct 23 18:40:41 2019,0.1,1.4,13.83
61,normal,Wed Oct 23 18:40:42 2019,0.1,1.4,13.81
62,normal,Wed Oct 23 18:40:43 2019,0.1,1.4,13.83
63,normal,Wed Oct 23 18:40:44 2019,0.1,1.4,13.83
64,normal,Wed Oct 23 18:40:45 2019,0.09,1.28,13.82
65,normal,Wed Oct 23 18:40:46 2019,0.1,1.4,13.84
66,normal,Wed Oct 23 18:40:47 2019,0.1,1.4,13.83
67,normal,Wed Oct 23 18:40:48 2019,0.09,1.28,13.82
68,normal,Wed Oct 23 18:40:49 2019,0.1,1.4,13.82
69,normal,Wed Oct 23 18:40:50 2019,0.1,1.4,13.82
70,normal,Wed Oct 23 18:40:51 2019,0.1,1.4,13.82
71,normal,Wed Oct 23 18:40:52 2019,0.1,1.4,13.82
72,normal,Wed Oct 23 18:40:53 2019,0.09,1.28,13.82
73,normal,Wed Oct 23 18:40:54 2019,0.09,1.28,13.82
74,normal,Wed Oct 23 18:40:55 2019,0.1,1.4,13.8
75,normal,Wed Oct 23 18:40:56 2019,0.1,1.4,13.82
76,normal,Wed Oct 23 18:40:57 2019,0.09,1.28,13.81
77,normal,Wed Oct 23 18:40:58 2019,0.09,1.28,13.82
78,normal,Wed Oct 23 18:40:59 2019,0.1,1.4,13.83
79,normal,Wed Oct 23 18:41:00 2019,0.09,1.28,13.83
80,normal,Wed Oct 23 18:41:01 2019,0.09,1.28,13.82
81,normal,Wed Oct 23 18:41:02 2019,0.09,1.28,13.84
82,normal,Wed Oct 23 18:41:03 2019,0.09,1.28,13.82
83,normal,Wed Oct 23 18:41:04 2019,0.09,1.28,13.82
84,normal,Wed Oct 23 18:41:05 2019,0.09,1.28,13.82
85,normal,Wed Oct 23 18:41:06 2019,0.1,1.4,13.82
86,normal,Wed Oct 23 18:41:07 2019,0.1,1.4,13.81
87,normal,Wed Oct 23 18:41:08 2019,0.09,1.28,13.82
88,normal,Wed Oct 23 18:41:09 2019,0.09,1.28,13.81
89,normal,Wed Oct 23 18:41:10 2019,0.1,1.4,13.81
90,normal,Wed Oct 23 18:41:11 2019,0.1,1.4,13.83
91,normal,Wed Oct 23 18:41:12 2019,0.09,1.28,13.82
92,normal,Wed Oct 23 18:41:13 2019,0.1,1.4,13.82
93,normal,Wed Oct 23 18:41:14 2019,0.09,1.28,13.82
94,normal,Wed Oct 23 18:41:15 2019,0.1,1.4,13.83
95,normal,Wed Oct 23 18:41:16 2019,0.1,1.4,13.83
96,normal,Wed Oct 23 18:41:17 2019,0.1,1.4,13.82
97,normal,Wed Oct 23 18:41:18 2019,0.09,1.28,13.81
98,normal,Wed Oct 23 18:41:19 2019,0.1,1.4,13.83
99,normal,Wed Oct 23 18:41:20 2019,0.1,1.4,13.82
100,normal,Wed Oct 23 18:41:21 2019,0.09,1.28,13.81
101,normal,Wed Oct 23 18:41:22 2019,0.09,1.28,13.81
102,normal,Wed Oct 23 18:41:23 2019,0.09,1.28,13.83
103,normal,Wed Oct 23 18:41:24 2019,0.09,1.28,13.82
104,normal,Wed Oct 23 18:41:25 2019,0.09,1.28,13.81
105,normal,Wed Oct 23 18:41:26 2019,0.09,1.28,13.82
106,normal,Wed Oct 23 18:41:27 2019,0.09,1.28,13.79
107,normal,Wed Oct 23 18:41:28 2019,0.09,1.28,13.82
108,normal,Wed Oct 23 18:41:29 2019,0.09,1.28,13.82
109,normal,Wed Oct 23 18:41:30 2019,0.1,1.4,13.82
110,normal,Wed Oct 23 18:41:31 2019,0.08,1.15,13.84
111,normal,Wed Oct 23 18:41:32 2019,0.09,1.28,13.81
112,normal,Wed Oct 23 18:41:33 2019,0.1,1.4,13.8
113,normal,Wed Oct 23 18:41:34 2019,0.09,1.28,13.82
114,normal,Wed Oct 23 18:41:35 2019,0.09,1.28,13.81
115,normal,Wed Oct 23 18:41:36 2019,0.1,1.4,13.81
116,normal,Wed Oct 23 18:41:38 2019,0.09,1.28,13.83
117,normal,Wed Oct 23 18:41:39 2019,0.09,1.28,13.81
118,normal,Wed Oct 23 18:41:40 2019,0.09,1.28,13.81
119,normal,Wed Oct 23 18:41:41 2019,0.1,1.4,13.82
120,normal,Wed Oct 23 18:41:42 2019,0.09,1.28,13.81
121,normal,Wed Oct 23 18:41:43 2019,0.1,1.4,13.81
122,normal,Wed Oct 23 18:41:44 2019,0.09,1.28,13.81
123,normal,Wed Oct 23 18:41:45 2019,0.09,1.28,13.82
124,normal,Wed Oct 23 18:41:46 2019,0.09,1.28,13.79
125,normal,Wed Oct 23 18:41:47 2019,0.1,1.4,13.83
126,normal,Wed Oct 23 18:41:48 2019,0.1,1.4,13.83
127,normal,Wed Oct 23 18:41:49 2019,0.09,1.28,13.84
128,normal,Wed Oct 23 18:41:50 2019,0.09,1.28,13.84
129,normal,Wed Oct 23 18:41:51 2019,0.1,1.4,13.81
130,normal,Wed Oct 23 18:41:52 2019,0.09,1.28,13.82
131,normal,Wed Oct 23 18:41:53 2019,0.09,1.28,13.78
132,normal,Wed Oct 23 18:41:54 2019,0.09,1.28,13.8
133,normal,Wed Oct 23 18:41:55 2019,0.1,1.4,13.82
134,normal,Wed Oct 23 18:41:56 2019,0.09,1.28,13.82
135,normal,Wed Oct 23 18:41:57 2019,0.09,1.28,13.82
136,normal,Wed Oct 23 18:41:58 2019,0.1,1.4,13.82
137,normal,Wed Oct 23 18:41:59 2019,0.09,1.28,13.81
138,normal,Wed Oct 23 18:42:00 2019,0.09,1.28,13.82
139,normal,Wed Oct 23 18:42:01 2019,0.1,1.4,13.81
140,normal,Wed Oct 23 18:42:02 2019,0.11,1.53,13.83
141,normal,Wed Oct 23 18:42:03 2019,0.09,1.28,13.83
142,normal,Wed Oct 23 18:42:04 2019,0.1,1.4,13.83
143,normal,Wed Oct 23 18:42:05 2019,0.09,1.28,13.84
144,normal,Wed Oct 23 18:42:06 2019,0.1,1.4,13.81
145,normal,Wed Oct 23 18:42:07 2019,0.1,1.4,13.81
146,normal,Wed Oct 23 18:42:08 2019,0.1,1.4,13.82
147,normal,Wed Oct 23 18:42:09 2019,0.1,1.4,13.81
148,normal,Wed Oct 23 18:42:10 2019,0.1,1.4,13.83
149,normal,Wed Oct 23 18:42:11 2019,0.1,1.4,13.81
150,normal,Wed Oct 23 18:42:12 2019,0.09,1.28,13.81
151,normal,Wed Oct 23 18:42:13 2019,0.1,1.4,13.84
152,normal,Wed Oct 23 18:42:14 2019,0.1,1.4,13.81
153,normal,Wed Oct 23 18:42:15 2019,0.1,1.4,13.81
154,normal,Wed Oct 23 18:42:16 2019,0.09,1.28,13.82
155,normal,Wed Oct 23 18:42:17 2019,0.09,1.28,13.81
156,normal,Wed Oct 23 18:42:18 2019,0.1,1.4,13.82
157,normal,Wed Oct 23 18:42:19 2019,0.1,1.4,13.83
158,normal,Wed Oct 23 18:42:20 2019,0.1,1.4,13.81
159,normal,Wed Oct 23 18:42:21 2019,0.09,1.28,13.82
160,normal,Wed Oct 23 18:42:22 2019,0.09,1.28,13.81
161,normal,Wed Oct 23 18:42:23 2019,0.09,1.28,13.81
162,normal,Wed Oct 23 18:42:24 2019,0.1,1.4,13.81
163,normal,Wed Oct 23 18:42:25 2019,0.09,1.28,13.83
164,normal,Wed Oct 23 18:42:26 2019,0.09,1.28,13.83
165,normal,Wed Oct 23 18:42:27 2019,0.09,1.28,13.82
166,normal,Wed Oct 23 18:42:28 2019,0.1,1.4,13.83
167,normal,Wed Oct 23 18:42:29 2019,0.1,1.4,13.82
168,normal,Wed Oct 23 18:42:30 2019,0.09,1.28,13.82
169,normal,Wed Oct 23 18:42:31 2019,0.09,1.28,13.81
170,normal,Wed Oct 23 18:42:32 2019,0.09,1.28,13.82
171,normal,Wed Oct 23 18:42:33 2019,0.09,1.28,13.82
172,normal,Wed Oct 23 18:42:34 2019,0.1,1.4,13.82
173,normal,Wed Oct 23 18:42:35 2019,0.09,1.28,13.82
174,normal,Wed Oct 23 18:42:36 2019,0.1,1.4,13.84
175,normal,Wed Oct 23 18:42:37 2019,0.09,1.28,13.8
176,normal,Wed Oct 23 18:42:38 2019,0.09,1.28,13.81
177,normal,Wed Oct 23 18:42:39 2019,0.09,1.28,13.83
178,normal,Wed Oct 23 18:42:40 2019,0.09,1.28,13.82
179,normal,Wed Oct 23 18:42:41 2019,0.1,1.4,13.8
180,normal,Wed Oct 23 18:42:42 2019,0.09,1.28,13.8
181,normal,Wed Oct 23 18:42:43 2019,0.09,1.28,13.8
182,normal,Wed Oct 23 18:42:44 2019,0.09,1.28,13.82
183,normal,Wed Oct 23 18:42:45 2019,0.1,1.4,13.82
184,normal,Wed Oct 23 18:42:46 2019,0.1,1.4,13.83
185,normal,Wed Oct 23 18:42:47 2019,0.09,1.28,13.83
186,normal,Wed Oct 23 18:42:48 2019,0.1,1.4,13.82
187,normal,Wed Oct 23 18:42:49 2019,0.1,1.4,13.8
188,normal,Wed Oct 23 18:42:50 2019,0.1,1.4,13.82
189,normal,Wed Oct 23 18:42:51 2019,0.09,1.28,13.82
190,normal,Wed Oct 23 18:42:52 2019,0.1,1.4,13.82
191,normal,Wed Oct 23 18:42:53 2019,0.09,1.28,13.82
192,normal,Wed Oct 23 18:42:54 2019,0.1,1.4,13.83
193,normal,Wed Oct 23 18:42:55 2019,0.09,1.28,13.82
194,normal,Wed Oct 23 18:42:56 2019,0.1,1.4,13.82
195,normal,Wed Oct 23 18:42:57 2019,0.09,1.28,13.81
196,normal,Wed Oct 23 18:42:58 2019,0.1,1.4,13.83
197,normal,Wed Oct 23 18:42:59 2019,0.1,1.4,13.8
198,normal,Wed Oct 23 18:43:00 2019,0.1,1.4,13.82
199,normal,Wed Oct 23 18:43:01 2019,0.1,1.4,13.82
200,normal,Wed Oct 23 18:43:02 2019,0.1,1.4,13.81
201,normal,Wed Oct 23 18:43:03 2019,0.1,1.4,13.83
202,normal,Wed Oct 23 18:43:04 2019,0.09,1.28,13.81
203,normal,Wed Oct 23 18:43:05 2019,0.1,1.4,13.83
204,normal,Wed Oct 23 18:43:06 2019,0.09,1.28,13.83
205,normal,Wed Oct 23 18:43:07 2019,0.1,1.4,13.81
206,normal,Wed Oct 23 18:43:08 2019,0.09,1.28,13.82
207,normal,Wed Oct 23 18:43:09 2019,0.1,1.4,13.82
208,normal,Wed Oct 23 18:43:10 2019,0.1,1.4,13.82
209,normal,Wed Oct 23 18:43:11 2019,0.09,1.28,13.82
210,normal,Wed Oct 23 18:43:12 2019,0.09,1.28,13.83
211,normal,Wed Oct 23 18:43:13 2019,0.1,1.4,13.82
212,normal,Wed Oct 23 18:43:14 2019,0.1,1.4,13.8
213,normal,Wed Oct 23 18:43:15 2019,0.1,1.4,13.79
214,normal,Wed Oct 23 18:43:16 2019,0.1,1.4,13.81
215,normal,Wed Oct 23 18:43:17 2019,0.09,1.28,13.82
216,normal,Wed Oct 23 18:43:18 2019,0.1,1.4,13.82
