,Condition,Date/Time,current,power,voltage
0,normal,Wed Oct 23 18:23:55 2019,0.14,3.73,25.99
1,normal,Wed Oct 23 18:23:56 2019,0.14,3.35,23.68
2,normal,Wed Oct 23 18:23:57 2019,0.13,3.09,22.1
3,normal,Wed Oct 23 18:23:58 2019,0.14,2.96,20.99
4,normal,Wed Oct 23 18:23:59 2019,0.13,2.7,20.41
5,normal,Wed Oct 23 18:24:00 2019,0.13,2.7,20.3
6,normal,Wed Oct 23 18:24:01 2019,0.13,2.83,20.77
7,normal,Wed Oct 23 18:24:02 2019,0.13,2.96,21.26
8,normal,Wed Oct 23 18:24:03 2019,0.14,2.96,21.1
9,normal,Wed Oct 23 18:24:04 2019,0.14,2.96,20.41
10,normal,Wed Oct 23 18:24:05 2019,0.14,2.83,19.64
11,normal,Wed Oct 23 18:24:06 2019,0.14,2.7,18.82
12,normal,Wed Oct 23 18:24:07 2019,0.15,2.83,18.06
13,normal,Wed Oct 23 18:24:08 2019,0.15,2.7,17.29
14,normal,Wed Oct 23 18:24:09 2019,0.16,2.7,16.62
15,normal,Wed Oct 23 18:24:10 2019,0.16,2.57,15.96
16,normal,Wed Oct 23 18:24:11 2019,0.16,2.57,15.37
17,normal,Wed Oct 23 18:24:12 2019,0.16,2.44,14.81
18,normal,Wed Oct 23 18:24:13 2019,0.16,2.32,14.31
19,normal,Wed Oct 23 18:24:14 2019,0.16,2.31,14.17
20,normal,Wed Oct 23 18:24:15 2019,0.16,2.44,15.21
21,normal,Wed Oct 23 18:24:16 2019,0.16,2.7,16.45
22,normal,Wed Oct 23 18:24:17 2019,0.15,2.7,17.87
23,normal,Wed Oct 23 18:24:18 2019,0.15,2.96,19.48
24,normal,Wed Oct 23 18:24:19 2019,0.15,3.35,21.21
25,normal,Wed Oct 23 18:24:20 2019,0.14,3.35,22.69
26,normal,Wed Oct 23 18:24:21 2019,0.14,3.35,22.77
27,normal,Wed Oct 23 18:24:22 2019,0.14,3.35,22.73
28,normal,Wed Oct 23 18:24:23 2019,0.13,3.49,25.39
29,normal,Wed Oct 23 18:24:24 2019,0.13,4.14,31.51
30,normal,Wed Oct 23 18:24:25 2019,0.13,4.27,32.79
31,normal,Wed Oct 23 18:24:26 2019,0.13,4.27,31.99
32,normal,Wed Oct 23 18:24:27 2019,0.13,4.27,31.18
33,normal,Wed Oct 23 18:24:28 2019,0.13,4.14,30.37
34,normal,Wed Oct 23 18:24:30 2019,0.13,3.88,29.7
35,normal,Wed Oct 23 18:24:31 2019,0.13,3.88,29.22
36,normal,Wed Oct 23 18:24:32 2019,0.13,3.88,28.8
37,normal,Wed Oct 23 18:24:33 2019,0.13,3.88,28.39
38,normal,Wed Oct 23 18:24:34 2019,0.14,4.01,28.24
39,normal,Wed Oct 23 18:24:35 2019,0.14,4.14,27.98
40,normal,Wed Oct 23 18:24:36 2019,0.14,4.14,27.72
41,normal,Wed Oct 23 18:24:37 2019,0.14,4.14,27.83
42,normal,Wed Oct 23 18:24:38 2019,0.15,4.28,28.0
43,normal,Wed Oct 23 18:24:39 2019,0.15,4.28,28.06
44,normal,Wed Oct 23 18:24:40 2019,0.15,4.28,27.48
45,normal,Wed Oct 23 18:24:41 2019,0.15,4.15,26.81
46,normal,Wed Oct 23 18:24:42 2019,0.15,4.28,26.93
47,normal,Wed Oct 23 18:24:43 2019,0.15,4.15,26.8
48,normal,Wed Oct 23 18:24:44 2019,0.15,4.02,25.88
49,normal,Wed Oct 23 18:24:45 2019,0.15,4.02,25.71
50,normal,Wed Oct 23 18:24:46 2019,0.15,4.02,25.39
51,normal,Wed Oct 23 18:24:47 2019,0.16,4.15,25.87
52,normal,Wed Oct 23 18:24:48 2019,0.15,4.02,25.76
53,normal,Wed Oct 23 18:24:49 2019,0.16,4.02,24.98
54,normal,Wed Oct 23 18:24:50 2019,0.15,4.02,25.19
55,normal,Wed Oct 23 18:24:51 2019,0.15,3.76,24.55
56,normal,Wed Oct 23 18:24:52 2019,0.15,4.15,26.2
57,normal,Wed Oct 23 18:24:53 2019,0.15,4.15,26.04
58,normal,Wed Oct 23 18:24:54 2019,0.15,4.15,26.42
59,normal,Wed Oct 23 18:24:55 2019,0.15,4.16,26.59
60,open,Wed Oct 23 18:24:56 2019,0.0,0.0,2.06
61,open,Wed Oct 23 18:24:57 2019,0.0,0.0,2.05
62,open,Wed Oct 23 18:24:58 2019,0.0,0.0,2.08
63,open,Wed Oct 23 18:24:59 2019,0.0,0.0,1.92
64,open,Wed Oct 23 18:25:00 2019,0.0,0.0,1.97
